,City,Country,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
54,Itarema,BR,1603627200,85.24,65,94,15.84,-2.9248,-39.9167
55,Upington,ZA,1603627200,101.34,9,38,6.35,-28.4478,21.2561
56,Tasiilaq,GL,1603627200,29.39,95,90,2.89,65.6145,-37.6368
57,Mount Isa,AU,1603627200,82.0,27,40,13.67,-20.7333,139.5
58,Port Hardy,CA,1603627200,37.4,86,52,7.99,50.6996,-127.4199
59,Olafsvik,IS,1603627200,42.28,81,100,32.23,64.8945,-23.7142
60,Lebu,CL,1603627200,49.55,81,8,6.11,-37.6167,-73.65
61,Vardø,NO,1603627200,39.6,78,100,16.64,70.3705,31.1107
62,Spitsevka,RU,1603627200,71.98,32,40,10.25,45.1231,42.5125
63,Ketchikan,US,1603627200,36.21,70,49,4.12,55.3422,-131.6461
64,Clyde River,CA,1603627200,15.87,90,94,4.52,70.4692,-68.5914
65,Evans,US,1603627200,67.51,90,92,4.29,33.5337,-82.1307
66,Zhezkazgan,KZ,1603627200,46.15,56,91,12.97,47.8043,67.7144
67,Marsh Harbour,BS,1603627200,77.11,87,100,11.14,26.5412,-77.0636
68,Tchibanga,GA,1603627200,81.48,78,94,6.13,-2.85,11.0333
69,Tripoli,LY,1603627200,74.95,61,70,9.13,32.8752,13.1875
70,Ilulissat,GL,1603627200,9.41,72,0,5.12,69.2167,-51.1
71,Meadow Lake,US,1603627200,56.17,32,95,2.59,34.8014,-106.5436
72,Bubaque,GW,1603627200,83.12,80,0,4.21,11.2833,-15.8333
73,Bethel,US,1603627200,39.87,79,100,5.97,41.3712,-73.414
74,Saint Paul Harbor,US,1603627200,44.76,86,95,5.14,57.79,-152.4072
75,Presidencia Roque Sáenz Peña,AR,1603627200,83.75,58,0,9.66,-26.7852,-60.4388
76,Tura,IN,1603627200,74.84,95,26,3.36,25.5198,90.2201
77,New Norfolk,AU,1603627200,42.31,70,38,1.68,-42.7826,147.0587
78,Punta Arenas,CL,1603627200,44.02,90,95,2.24,-53.15,-70.9167
79,Yulara,AU,1603627200,73.83,20,0,13.0,-25.2406,130.9889
80,Llanes,ES,1603627200,57.9,78,100,23.8,43.4198,-4.7549
81,Butaritari,KI,1603627200,81.14,71,97,8.14,3.0707,172.7902
82,Inírida,CO,1603627200,76.3,92,97,4.32,3.8653,-67.9239
83,Le Port,RE,1603627200,73.65,68,77,5.91,-20.9373,55.2919
84,Bandar-e Anzali,IR,1603627200,71.01,74,20,4.81,37.4727,49.4622
85,Shetpe,KZ,1603627200,66.42,64,86,14.45,44.1667,52.1167
86,Cape Town,ZA,1603627200,67.28,66,68,16.17,-33.9258,18.4232
87,Potsdam,DE,1603627200,62.67,68,61,11.97,52.3989,13.0657
88,San Juan de los Morros,VE,1603627200,73.2,90,53,3.13,9.9115,-67.3538
89,Fort-Shevchenko,KZ,1603627200,65.28,74,83,10.16,44.5086,50.263
90,Tabas,IR,1603627200,78.35,16,0,7.0,33.5959,56.9244
91,Marzuq,YE,1603627200,85.19,12,3,5.75,14.4,46.4667
92,Ostrovnoy,RU,1603627200,31.14,93,47,12.33,68.0531,39.5131
93,Upernavik,GL,1603627200,16.99,79,1,6.2,72.7868,-56.1549
94,Avarua,CK,1603627200,73.24,76,64,22.35,-21.2078,-159.775
95,Vostok,RU,1603627200,32.67,100,100,4.03,46.4856,135.8833
96,Norman Wells,CA,1603627200,23.11,88,70,0.38,65.282,-126.8329
97,Mazamari,PE,1603627200,77.16,62,6,0.94,-11.3258,-74.5308
98,Cabo San Lucas,MX,1603627200,77.56,78,0,11.36,22.8909,-109.9124
99,Grindavik,IS,1603627200,44.1,81,87,28.05,63.8424,-22.4338
100,Tiksi,RU,1603627200,6.71,90,99,29.39,71.6872,128.8694
101,Airai,TL,1603627200,66.51,96,96,1.5,-8.9266,125.4092
102,Fortuna,US,1603627200,46.26,94,50,2.89,40.5982,-124.1573
103,Bambous Virieux,MU,1603627200,74.84,75,81,15.01,-20.3428,57.7575
104,Berani,PK,1603627200,95.0,17,0,2.91,25.785,68.8069
105,Guerrero Negro,MX,1603627200,65.57,84,63,10.4,27.9769,-114.0611
106,Katsuura,JP,1603627200,63.66,47,0,4.56,35.1333,140.3
107,Sibu,MY,1603627200,81.46,81,69,1.34,2.3,111.8167
108,Quryq,KZ,1603627200,66.67,76,100,13.56,43.2,51.65
109,Hong Kong,HK,1603627200,75.22,73,99,17.16,22.2855,114.1577
110,Vaini,TO,1603627200,74.89,84,84,21.27,-21.2,-175.2
111,Dhidhdhoo,MV,1603627200,82.6,73,66,9.44,6.8833,73.1
112,San Patricio,US,1603627200,67.84,89,46,4.36,28.017,-97.5169
113,Muros,ES,1603627200,57.34,76,98,18.07,42.7762,-9.0603
114,Poronaysk,RU,1603627200,41.25,83,56,8.37,49.2167,143.1167
115,Muri,IN,1603627200,81.88,40,24,5.7,23.3667,85.8667
116,Lethem,GY,1603627200,82.87,74,40,12.24,3.3803,-59.7968
117,Nelson Bay,AU,1603627200,58.14,98,95,10.27,-32.7167,152.15
118,Arteaga,MX,1603627200,63.37,91,18,2.57,18.4667,-102.4167
119,Korla,CN,1603627200,55.65,37,49,8.48,41.7597,86.1469
120,Kapaa,US,1603627200,78.12,76,57,5.46,22.0752,-159.319
121,Cidreira,BR,1603627200,71.24,86,88,20.49,-30.1811,-50.2056
122,Formosa do Rio Preto,BR,1603627200,83.55,73,90,2.51,-11.0483,-45.1931
123,Srednekolymsk,RU,1603627200,16.79,95,95,2.44,67.45,153.6833
124,Pacific Grove,US,1603627200,58.06,89,94,6.06,36.6177,-121.9166
125,Scottsbluff,US,1603627200,15.57,87,95,11.41,41.8666,-103.6672
126,Hilo,US,1603627200,76.59,76,48,6.76,19.7297,-155.09
127,Pizarro,CO,1603627200,75.72,90,92,4.92,4.9533,-77.366
128,Beringovskiy,RU,1603627200,30.63,95,95,8.95,63.05,179.3167
129,Palmer,US,1603627200,38.97,73,49,5.46,42.1584,-72.3287
130,Marawi,PH,1603627200,73.53,91,100,7.92,7.9986,124.2928
131,Kupang,ID,1603627200,80.8,84,60,7.4,-10.1667,123.5833
132,Khatanga,RU,1603627200,7.86,95,100,11.25,71.9667,102.5
133,Mehamn,NO,1603627200,37.6,81,94,13.87,71.0357,27.8492
134,Caravelas,BR,1603627200,74.08,91,100,8.03,-17.7125,-39.2481
135,Chokwé,MZ,1603627200,99.46,22,0,5.86,-24.5333,32.9833
136,Bredasdorp,ZA,1603627200,64.2,76,100,10.47,-34.5322,20.0403
137,Matam,SN,1603627200,102.34,35,0,14.07,15.6175,-13.3303
138,Ancud,CL,1603627200,49.73,85,67,9.8,-41.8697,-73.8203
139,Kaitangata,NZ,1603627200,48.2,95,99,4.63,-46.2817,169.8464
140,Camacha,PT,1603627200,66.92,67,21,10.78,33.0833,-16.3333
141,Castro,BR,1603627200,69.96,85,4,3.18,-24.7911,-50.0119
142,Port-Cartier,CA,1603627200,31.75,78,11,9.28,50.0334,-66.8654
143,Karratha,AU,1603627200,74.89,70,15,15.32,-20.7377,116.8463
144,Praxédis Guerrero,MX,1603627200,65.01,37,21,5.39,31.3667,-106.0167
145,Hithadhoo,MV,1603627200,83.98,72,21,8.14,-0.6,73.0833
146,Aklavik,CA,1603627200,22.35,84,85,6.06,68.2191,-135.0107
147,Pisco,PE,1603627200,63.46,83,4,2.86,-13.7,-76.2167
148,Qaanaaq,GL,1603627200,17.85,88,90,11.48,77.484,-69.3632
149,Havre-St-Pierre,CA,1603627200,33.84,85,40,14.79,50.2334,-63.5986
150,Kiryat Gat,IL,1603627200,85.69,48,47,13.27,31.61,34.7642
151,Sur,OM,1603627200,82.78,40,0,12.33,22.5667,59.5289
152,Comodoro Rivadavia,AR,1603627200,54.34,47,10,29.84,-45.8667,-67.5
153,Port Lincoln,AU,1603627200,53.13,62,38,17.58,-34.7333,135.8667
154,Novy Urengoy,RU,1603627200,11.93,96,3,8.16,66.0833,76.6333
155,Touros,BR,1603627200,85.32,77,46,15.82,-5.1989,-35.4608
156,Nemuro,JP,1603627200,49.05,76,68,14.29,43.3236,145.575
157,Al Bardīyah,LY,1603627200,74.73,65,0,17.49,31.7561,25.0865
158,Shatalovo,RU,1603627200,49.93,77,93,9.51,54.334,32.4465
159,Yellowknife,CA,1603627200,21.88,88,46,6.67,62.456,-114.3525
160,Road Town,VG,1603627200,82.63,84,43,18.95,18.4167,-64.6167
161,Okha,RU,1603627200,43.52,92,100,19.73,53.5739,142.9478
162,Tilichiki,RU,1603627200,29.7,98,43,5.75,60.4667,166.1
163,Ponta do Sol,PT,1603627200,69.3,58,20,5.12,32.6667,-17.1
164,Makakilo City,US,1603627200,75.94,83,1,2.66,21.3469,-158.0858
165,Hetauda,NP,1603627200,75.79,57,17,1.5,27.4284,85.0322
166,Roebourne,AU,1603627200,76.1,65,18,16.13,-20.7833,117.1333
167,Geraldton,AU,1603627200,77.41,43,0,11.77,-28.7667,114.6
168,Cavnic,RO,1603627200,56.12,91,87,2.77,47.6667,23.8667
169,Provideniya,RU,1603627200,32.47,92,9,5.73,64.3833,-173.3
170,Broome,US,1603627200,32.31,90,34,3.87,42.2506,-75.833
171,Carnarvon,AU,1603627200,71.28,84,0,18.79,-24.8667,113.6333
172,Umm Kaddadah,SD,1603627200,92.95,16,0,16.6,13.6017,26.6876
173,Nouadhibou,MR,1603627200,77.77,61,100,17.43,20.931,-17.0347
174,Broken Hill,AU,1603627200,53.42,41,2,14.14,-31.95,141.4333
175,Ochakiv,UA,1603627200,66.0,69,49,8.25,46.6128,31.5498
176,Tongchuanshi,CN,1603627200,63.7,47,42,2.82,35.0806,109.0897
177,Tuatapere,NZ,1603627200,46.31,93,100,5.26,-46.1333,167.6833
178,Inuvik,CA,1603627200,20.75,84,77,2.73,68.3499,-133.7218
179,Krasnoarmeysk,RU,1603627200,55.4,85,100,22.64,51.0239,45.6969
180,Pleshanovo,RU,1603627200,50.92,75,100,7.14,52.8333,53.4833
181,Esperance,AU,1603627200,66.36,49,0,23.06,-33.8667,121.9
182,Baloda Bāzār,IN,1603627200,83.26,43,0,3.09,21.6667,82.1667
183,Voskresenskoye,RU,1603627200,39.79,72,97,4.85,56.8381,45.4317
184,Muzhi,RU,1603627200,21.58,97,100,9.08,65.3667,64.6667
185,Sebezh,RU,1603627200,49.95,81,87,5.61,56.2955,28.4654
186,Henties Bay,NA,1603627200,63.95,79,37,9.1,-22.116,14.2845
187,Huarmey,PE,1603627200,62.96,85,60,7.0,-10.0681,-78.1522
188,Luanda,AO,1603627200,78.6,79,87,12.01,-8.8368,13.2343
189,Pevek,RU,1603627200,27.16,93,25,4.0,69.7008,170.3133
190,Nalobikha,RU,1603627200,33.12,76,94,10.09,53.2006,84.6039
191,Port Keats,AU,1603627200,84.31,71,38,7.49,-14.25,129.55
192,Basco,PH,1603627200,80.26,82,96,28.59,20.4487,121.9702
193,Bagdarin,RU,1603627200,29.43,92,100,1.16,54.4333,113.6
194,Fomboni,KM,1603627200,79.7,75,36,12.68,-12.28,43.7425
195,Manicoré,BR,1603627200,76.51,94,97,0.72,-5.8092,-61.3003
196,Narsaq,GL,1603627200,29.95,78,100,18.45,60.9167,-46.05
197,Cherskiy,RU,1603627200,11.07,96,77,2.53,68.75,161.3
198,Turiaçu,BR,1603627200,85.95,76,92,6.24,-1.6633,-45.3717
199,Sola,VU,1603627200,81.23,80,66,17.22,-13.8833,167.55
200,Dumas,US,1603627200,38.21,85,92,16.35,35.8656,-101.9732
201,Lucapa,AO,1603627200,88.39,51,85,4.36,-8.4192,20.7447
202,Borda da Mata,BR,1603627200,72.7,84,70,2.01,-22.2742,-46.1653
203,Plainview,US,1603627200,47.59,62,49,11.23,40.7765,-73.4673
204,Liepāja,LV,1603627200,55.8,86,94,16.49,56.5419,21.0367
205,The Valley,AI,1603627200,82.63,79,21,18.81,18.217,-63.0578
206,Lagoa,PT,1603627200,64.29,66,92,10.89,39.05,-27.9833
207,Souillac,MU,1603627200,75.09,73,72,15.12,-20.5167,57.5167
208,Rawson,AR,1603627200,59.77,34,83,25.48,-43.3002,-65.1023
209,Iqaluit,CA,1603627200,14.04,84,29,6.82,63.7506,-68.5145
210,Carauari,BR,1603627200,76.12,96,100,3.0,-4.8828,-66.8958
211,Tevaitoa,PF,1603627200,79.59,70,67,0.45,-16.7833,-151.5
212,Yuli,NG,1603627200,95.34,22,65,6.91,9.6989,10.2744
213,Congleton,GB,1603627200,51.53,74,89,14.9,53.1631,-2.2125
214,Dikson,RU,1603627200,17.35,97,92,10.38,73.5069,80.5464
215,Aripuanã,BR,1603627200,78.58,82,100,2.66,-9.1667,-60.6333
216,Chipinge,ZW,1603627200,84.97,27,0,8.63,-20.1883,32.6236
217,Phan Thiet,VN,1603627200,80.49,81,27,3.09,10.9333,108.1
218,Paamiut,GL,1603627200,35.33,85,100,15.28,61.994,-49.6678
219,Emerald,AU,1603627200,76.69,42,10,10.94,-23.5333,148.1667
220,Luchegorsk,RU,1603627200,40.51,78,6,4.16,46.4764,134.2569
221,Teya,RU,1603627200,23.22,94,100,5.01,60.3778,92.6267
222,Princeton,US,1603627200,78.53,90,93,8.84,25.5384,-80.4089
223,Patacamaya,BO,1603627200,51.19,59,60,2.13,-17.2333,-67.9167
224,Bashmakovo,RU,1603627200,48.18,83,100,15.23,53.2133,43.0342
225,Yar-Sale,RU,1603627200,14.2,96,0,9.17,66.8333,70.8333
226,Salalah,OM,1603627200,85.46,37,0,7.31,17.0151,54.0924
227,Mitsamiouli,KM,1603627200,81.28,70,6,12.8,-11.3847,43.2844
228,Pandan,PH,1603627200,79.92,85,100,38.92,14.0453,124.1694
229,Kloulklubed,PW,1603627200,83.5,74,95,6.13,7.0419,134.2556
230,Salaga,GH,1603627200,95.09,53,68,1.68,8.5508,-0.5188
231,Amarillo,US,1603627200,43.09,78,49,8.05,35.222,-101.8313
232,Tegul'det,RU,1603627200,27.95,87,100,6.58,57.3064,88.1667
233,San Pedro de Ycuamandiyú,PY,1603627200,89.42,64,3,5.86,-24.0917,-57.0764
234,Manga,BF,1603627200,97.45,19,59,8.32,11.6636,-1.0731
235,Ambovombe,MG,1603627200,83.57,51,57,18.81,-25.1667,46.0833
236,Asău,RO,1603627200,58.75,82,100,3.96,46.4333,26.4
237,Saskylakh,RU,1603627200,10.53,93,100,15.97,71.9167,114.0833
238,Lüderitz,NA,1603627200,81.0,34,90,27.85,-26.6481,15.1594
239,Rio Brilhante,BR,1603627200,85.51,71,1,6.06,-21.8019,-54.5464
240,Calhoun,US,1603627200,33.44,89,39,5.61,42.2506,-85.0005
241,Hastings,GB,1603627200,55.71,75,40,23.87,50.8552,0.5729
242,Assiut,EG,1603627200,85.77,33,0,13.91,27.181,31.1837
243,Taltal,CL,1603627200,60.73,68,90,1.88,-25.4,-70.4833
244,Thompson,CA,1603627200,21.61,88,94,7.78,55.7435,-97.8558
245,Alyangula,AU,1603627200,83.77,71,84,14.63,-13.8483,136.4192
246,Hambantota,LK,1603627200,90.48,55,68,19.69,6.1241,81.1185
247,Iraquara,BR,1603627200,79.9,70,88,6.76,-12.2486,-41.6194
248,Nome,US,1603627200,36.68,92,95,6.82,64.5011,-165.4064
249,Cairns,AU,1603627200,77.63,77,48,1.34,-16.9167,145.7667
250,Saint-Pierre,RE,1603627200,73.8,68,60,8.61,-21.3393,55.4781
251,Rognan,NO,1603627200,37.15,66,43,13.4,67.0953,15.3878
252,Isangel,VU,1603627200,74.59,77,2,11.74,-19.55,169.2667
253,Helong,CN,1603627200,40.75,67,0,5.14,42.5397,128.9972
254,Kumul,CN,1603627200,50.32,45,0,2.08,42.8,93.45
255,Quatre Cocos,MU,1603627200,74.88,75,80,15.5,-20.2078,57.7625
256,Hofn,IS,1603627200,45.28,75,78,19.69,64.2539,-15.2082
257,Siguiri,GN,1603627200,93.88,34,27,4.27,11.6667,-9.5
258,Petrolina,BR,1603627200,84.63,56,40,13.96,-9.3986,-40.5008
259,Cam Ranh,VN,1603627200,81.45,81,56,3.33,11.9214,109.1591
260,Damietta,EG,1603627200,80.24,54,20,7.99,31.4165,31.8133
261,Klaksvík,FO,1603627200,49.01,85,85,19.73,62.2266,-6.589
262,Vao,NC,1603627200,72.36,82,22,16.62,-22.6667,167.4833
263,Acaraú,BR,1603627200,85.77,65,90,15.84,-2.8856,-40.12
264,Buta,CD,1603627200,79.12,88,98,1.92,2.7858,24.73
265,Lompoc,US,1603627200,59.38,77,95,3.91,34.6391,-120.4579
266,Port Elizabeth,ZA,1603627200,70.11,70,62,17.11,-33.918,25.5701
267,Saint-Augustin,CA,1603627200,33.26,87,15,14.99,51.226,-58.6502
268,Cayhagan,PH,1603627200,78.55,87,100,16.11,9.6697,122.4256
269,Ostroh,UA,1603627200,57.11,79,95,6.13,50.3294,26.5143
270,Makkah al Mukarramah,SA,1603627200,98.15,24,0,14.58,21.4267,39.8261
271,Bacolod City,PH,1603627200,76.82,91,100,15.88,10.6667,122.95
272,Terrace,CA,1603627200,31.96,69,87,0.89,54.5163,-128.6035
273,Jizan,SA,1603627200,97.45,43,10,16.49,17.3333,42.6667
274,Mareeba,AU,1603627200,73.96,80,51,2.84,-17.0,145.4333
275,Antofagasta,CL,1603627200,60.4,76,95,8.55,-23.65,-70.4
276,Nizhnyaya Tavda,RU,1603627200,35.1,96,100,6.2,57.6731,66.1725
277,Rovaniemi,FI,1603627200,32.61,98,76,1.9,66.5,25.7167
278,Tuensang,IN,1603627200,73.15,75,35,1.43,26.2833,94.8333
279,Ambilobe,MG,1603627200,95.95,26,3,3.15,-13.2,49.05
280,Tucumã,BR,1603627200,86.05,76,29,5.99,-0.1833,-50.05
281,Syracuse,IT,1603627200,71.15,51,0,8.81,37.0881,15.2792
282,Kavieng,PG,1603627200,82.89,76,32,9.75,-2.5744,150.7967
283,Tahe,CN,1603627200,30.99,95,0,1.25,52.3333,124.7333
284,Yurino,RU,1603627200,41.29,72,59,6.35,56.2942,46.3039
285,Yerbogachën,RU,1603627200,26.55,92,100,4.38,61.2767,108.0108
286,Eureka,US,1603627200,46.04,91,0,2.28,40.8021,-124.1637
287,Panguna,PG,1603627200,69.24,100,100,1.32,-6.3164,155.4848
288,Chute-aux-Outardes,CA,1603627200,31.41,78,2,10.54,49.1168,-68.399
289,Codrington,AU,1603627200,47.88,59,6,14.74,-38.2667,141.9667
290,Nikolskoye,RU,1603627200,43.02,88,93,3.06,59.7035,30.7861
291,Tibati,CM,1603627200,86.58,65,75,3.44,6.4667,12.6333
292,Negombo,LK,1603627200,84.76,74,69,5.35,7.2083,79.8358
293,Calbuco,CL,1603627200,46.69,91,74,12.57,-41.768,-73.1273
294,Motygino,RU,1603627200,27.18,92,87,5.41,58.1831,94.7592
295,Chui,UY,1603627200,67.37,94,81,10.04,-33.6971,-53.4616
296,Oussouye,SN,1603627200,94.48,63,20,3.44,12.485,-16.5469
297,Fort Nelson,CA,1603627200,21.31,78,69,2.55,58.8053,-122.7002
298,Sistranda,NO,1603627200,49.48,80,87,15.08,63.7256,8.834
299,Berdigestyakh,RU,1603627200,20.37,96,30,4.54,62.0989,126.6992
300,Juli,PE,1603627200,48.76,56,6,0.94,-16.2167,-69.45
301,Cockburn Town,TC,1603627200,83.55,78,88,21.23,21.4612,-71.1419
302,Mahébourg,MU,1603627200,74.75,75,78,15.1,-20.4081,57.7
303,Kununurra,AU,1603627200,92.23,45,93,11.18,-15.7667,128.7333
304,Kungurtug,RU,1603627200,20.21,79,54,3.4,50.5994,97.5228
305,Matara,LK,1603627200,84.74,68,93,10.4,5.9485,80.5353
306,Los Llanos de Aridane,ES,1603627200,67.93,65,44,14.18,28.6585,-17.9182
307,Riviere-au-Renard,CA,1603627200,36.41,70,43,21.7,48.9957,-64.3971
308,Mocuba,MZ,1603627200,95.97,28,15,4.97,-16.8392,36.9856
309,Kahului,US,1603627200,78.78,71,7,3.6,20.8947,-156.47
310,Russell,US,1603627200,65.41,96,62,2.33,32.3502,-85.1999
311,Kholodnyy,RU,1603627200,23.56,94,100,6.38,62.7167,147.95
312,Tres Arroyos,AR,1603627200,59.47,98,100,7.09,-38.3739,-60.2798
313,Waingapu,ID,1603627200,82.98,72,89,1.39,-9.6567,120.2641
314,Purpe,RU,1603627200,16.68,96,61,12.15,64.4803,76.6897
315,Myski,RU,1603627200,31.15,81,86,3.85,53.709,87.8014
316,Spearfish,US,1603627200,9.61,93,95,3.76,44.4908,-103.8594
317,Kattivākkam,IN,1603627200,86.32,66,59,10.0,13.2167,80.3167
318,Umluj,SA,1603627200,88.81,30,0,8.48,25.0213,37.2685
319,Cururupu,BR,1603627200,86.72,76,64,6.89,-1.8283,-44.8683
320,Oyama,JP,1603627200,62.4,50,10,3.06,36.3,139.8
321,Kedrovyy,RU,1603627200,25.77,74,45,3.31,56.1667,91.8167
322,Brae,GB,1603627200,49.91,74,21,15.48,60.3964,-1.353
323,Santarém,BR,1603627200,86.09,75,69,6.55,-2.4431,-54.7083
324,Witu,KE,1603627200,88.36,54,30,13.29,-2.3889,40.4382
325,Aksu,CN,1603627200,58.96,29,100,4.81,41.1231,80.2644
326,Coquimbo,CL,1603627200,56.62,79,0,3.96,-29.9533,-71.3436
327,Luganville,VU,1603627200,78.3,85,73,12.06,-15.5333,167.1667
328,Hasaki,JP,1603627200,65.19,64,10,9.35,35.7333,140.8333
329,Plouzané,FR,1603627200,54.82,70,89,24.56,48.3833,-4.6167
330,Alappuzha,IN,1603627200,81.86,71,98,5.3,9.49,76.3264
331,Saint George,US,1603627200,54.82,53,3,1.97,37.1041,-113.5841
332,Newport,GB,1603627200,53.71,84,73,18.1,51.5877,-2.9984
333,Ferrol,ES,1603627200,56.44,76,97,18.45,43.4832,-8.2369
334,Dalianwan,CN,1603627200,60.19,57,69,4.97,39.0286,121.695
335,Shediac,CA,1603627200,36.97,77,60,12.97,46.2198,-64.5411
336,Tuyen Quang,VN,1603627200,73.98,67,87,0.29,21.8233,105.2181
337,Kutum,SD,1603627200,85.3,19,12,7.63,14.2,24.6667
338,Rambha,IN,1603627200,84.06,68,100,2.82,19.5167,85.1
339,Channel-Port aux Basques,CA,1603627200,44.28,81,69,22.55,47.5702,-59.1367
340,Zhigansk,RU,1603627200,11.28,92,85,8.77,66.7697,123.3711
341,Portales,US,1603627200,55.67,44,49,10.11,34.1862,-103.3344
342,Saquarema,BR,1603627200,70.68,92,95,16.89,-22.92,-42.5103
343,Port Hawkesbury,CA,1603627200,44.53,79,77,22.75,45.6169,-61.3485
344,Clarence Town,AU,1603627200,56.39,98,95,4.12,-32.5833,151.7833
345,Oistins,BB,1603627200,82.42,75,41,18.77,13.0667,-59.5333
346,Oodweyne,SO,1603627200,87.64,21,0,7.43,9.4092,45.064
347,Pochutla,MX,1603627200,74.48,77,36,3.33,15.7432,-96.4661
348,Champerico,GT,1603627200,78.17,91,89,5.53,14.3,-91.9167
349,San Juan,AR,1603627200,65.28,71,15,26.17,-31.5375,-68.5364
350,Mildura,AU,1603627200,55.51,43,29,18.63,-34.2,142.15
351,Koszalin,PL,1603627200,60.57,72,60,16.02,54.1944,16.1722
352,Hamilton,US,1603627200,45.99,72,92,8.72,39.1834,-84.5333
353,Mount Gambier,AU,1603627200,47.14,69,66,10.27,-37.8333,140.7667
354,Bilibino,RU,1603627200,17.2,89,10,0.43,68.0546,166.4372
355,College,US,1603627200,25.34,82,76,2.04,64.8569,-147.8028
356,Husavik,IS,1603627200,40.91,86,95,15.05,66.0449,-17.3389
